"Job Title","Company Name","Place","Salary"
"Equity Analyst","Manavritti Solutions PVT LTD","Pune","₹ 3,00,000 - 5,00,000"
"Data Analytics Associate","Intas Pharma Pvt Ltd","Hyderabad","₹ 4,60,000 - 5,90,000"
"Associate Software Developer","Regenerative AI","Work from home","₹ 3,00,000 - 5,00,000"
"Data Analyst (Only Female)","Decision Tree Analytics And Services","Gurgaon","₹ 12,50,000"
"Founders Office","KALAKSH WATCHES","Bangalore","₹ 10,00,000 - 15,00,000"
"Product Manager","Intelense","Bangalore","₹ 8,00,000 - 15,00,000"
"Artificial Intelligence (AI) Executive","Buddha Education Association Incorporation","Work from home","₹ 8,00,000 - 12,00,000"
"Digital Marketing Specialist","Gullak Money","Bangalore","₹ 6,00,000 - 12,00,000"
"Data Analytics Associate","DeepNexus.in","Work from home","₹ 6,00,000 - 8,50,000"
"Data Scientist","Buddha Education Association Incorporation","Work from home","₹ 6,00,000 - 8,50,000"
"Junior AI Engineer","Autosprint","Hyderabad","₹ 6,00,000 - 8,00,000"
"Machine Learning Engineer (Battery Diagnostics)","ThinkClock Innovation Labs","Bangalore","₹ 5,00,000 - 8,00,000"
"Data Scientist","MediaCom India","Work from home","₹ 5,00,000 - 8,00,000"
"Junior Data Analyst","MediaCom India","Work from home","₹ 5,00,000 - 8,00,000"
"Data Analyst","MediaCom India","Work from home","₹ 5,00,000 - 8,00,000"
"Data Analytics Associate","MediaCom India","Work from home","₹ 5,00,000 - 8,00,000"
"Associate Data Scientist","MediaCom India","Work from home","₹ 5,00,000 - 8,00,000"
"Junior Data Scientist","MediaCom India","Work from home","₹ 5,00,000 - 8,00,000"
"Data Analytics Executive","Sharpener Tech","Work from home","₹ 5,00,000 - 7,00,000"
"Design Strategist","DataVinci Private Limited","Work from home","₹ 5,00,000 - 6,00,000"
"Associate Data Scientist","Softsensor.ai","Gurgaon","₹ 5,00,000 - 6,00,000"
"Alt Text Writer – Image Description Creation","SpireEdu Services","Work from home","₹ 5,00,000 - 5,00,001"
"Subject Matter Expert (SME) - Solution Creation","SpireEdu Services","Work from home","₹ 5,00,000 - 5,00,001"
"Data Intelligence And Research Bureau","Navikshaa","Bangalore","₹ 4,80,000 - 8,40,000"
"Data Associate","Weekday","Coimbatore","₹ 4,00,000 - 12,00,000"
"Computer Operator","Solidstack","Work from home","₹ 4,00,000 - 9,00,000"
"Data Entry Operator Executive","Compaxion","Work from home","₹ 4,00,000 - 7,00,000"
"Computer Executive","Sapphire Tech","Work from home","₹ 4,00,000 - 7,00,000"
"Back End Executive","Compaxion","Work from home","₹ 4,00,000 - 7,00,000"
"Senior Computer Executive","Sapphire Tech","Work from home","₹ 4,00,000 - 7,00,000"
"Data Entry Operator","Hexisoft Solutions","Work from home","₹ 4,00,000 - 7,00,000"
"Junior Computer Executive","Hexisoft Solutions","Work from home","₹ 4,00,000 - 7,00,000"
"Computer Operator","Hexisoft Solutions","Work from home","₹ 4,00,000 - 7,00,000"
"Computer Executive","Hexisoft Solutions","Work from home","₹ 4,00,000 - 7,00,000"
"Associate Back-End Operation Executive","Hexisoft Solutions","Work from home","₹ 4,00,000 - 7,00,000"
"Computer Executive","Solidstack","Work from home","₹ 4,00,000 - 7,00,000"
"Associate Back-End Operation Executive","Solidstack","Work from home","₹ 4,00,000 - 7,00,000"
"Business Analyst","Stockarea","Chennai","₹ 4,00,000 - 6,00,000"
"Business Associate (No-Code App Development & Customer Success)","Clappia","Bangalore","₹ 4,00,000 - 5,00,000"
"Technical Business Analyst","Nvest Solution Private Limited","Thane","₹ 4,00,000 - 5,00,000"